                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2327,                 4.3777,                  1.796,                 0.0004,                0.14518,                0.00822,                0.00229,                 2.8787,                   4.58,                  2.246,                0.07206,             6.0304e-05,             6.0304e-05
                      2,                 1.8968,                 2.5129,                 1.4531,                0.13173,                0.16843,                 0.1148,                0.06365,                 2.3126,                 4.4489,                 1.8119,               0.043122,             0.00012247,             0.00012247
                      3,                 1.8164,                 1.9648,                 1.4103,                0.18908,                0.54164,                0.34504,                0.18457,                  2.047,                  3.551,                 1.5139,               0.014184,             0.00018433,             0.00018433
                      4,                 1.7407,                 1.7559,                 1.3712,                 0.7379,                0.33488,                 0.5111,                0.25687,                 1.9201,                 2.5512,                 1.4595,             0.00021382,             0.00021382,             0.00021382
                      5,                 1.7163,                 1.6611,                 1.3552,                0.64735,                0.52978,                0.58515,                0.30132,                 1.8522,                 1.7405,                  1.409,              0.0002133,              0.0002133,              0.0002133
                      6,                 1.6888,                 1.5675,                 1.3451,                0.60124,                0.57269,                0.59227,                0.28276,                 1.9088,                 1.6401,                 1.4367,             0.00021278,             0.00021278,             0.00021278
                      7,                 1.6596,                 1.5377,                 1.3287,                0.63111,                0.57428,                0.59388,                0.29895,                  1.815,                 1.5945,                 1.4056,             0.00021226,             0.00021226,             0.00021226
                      8,                 1.6405,                 1.4536,                 1.3151,                0.61238,                0.61809,                0.62361,                0.31686,                 1.8263,                  1.543,                 1.4541,             0.00021175,             0.00021175,             0.00021175
                      9,                 1.6154,                 1.4243,                 1.3076,                0.66642,                0.61056,                0.62519,                 0.3097,                 1.8893,                  1.561,                  1.462,             0.00021123,             0.00021123,             0.00021123
                     10,                 1.5978,                 1.3868,                 1.2922,                0.62331,                0.57119,                0.59149,                0.29952,                 1.8288,                 1.5738,                 1.4455,             0.00021071,             0.00021071,             0.00021071
                     11,                 1.5909,                 1.3645,                 1.2974,                0.60002,                0.57481,                0.59935,                0.30261,                 1.8067,                 1.6597,                 1.4443,             0.00021019,             0.00021019,             0.00021019
                     12,                 1.5705,                 1.3189,                 1.2796,                0.66518,                0.61457,                0.62727,                0.30772,                 1.7974,                 1.4861,                 1.3927,             0.00020968,             0.00020968,             0.00020968
                     13,                 1.5435,                 1.2827,                 1.2613,                0.56301,                0.61025,                0.60271,                0.30218,                 1.8315,                 1.6065,                 1.4294,             0.00020916,             0.00020916,             0.00020916
                     14,                  1.534,                 1.2439,                 1.2543,                0.71972,                0.49871,                0.57437,                0.28277,                 1.8669,                  1.628,                 1.4419,             0.00020864,             0.00020864,             0.00020864
                     15,                 1.5232,                 1.2275,                 1.2565,                 0.6647,                0.62745,                0.63801,                0.31606,                 1.8157,                 1.4702,                 1.4279,             0.00020812,             0.00020812,             0.00020812
                     16,                 1.5321,                 1.2307,                 1.2645,                0.66259,                0.60599,                0.63735,                0.31332,                 1.8496,                 1.4767,                 1.4463,             0.00020761,             0.00020761,             0.00020761
                     17,                 1.5068,                 1.1853,                 1.2464,                 0.6512,                0.59969,                0.62919,                0.30357,                 1.8763,                 1.5318,                 1.4712,             0.00020709,             0.00020709,             0.00020709
                     18,                 1.5051,                 1.1745,                 1.2398,                0.66173,                0.60282,                0.63474,                0.31443,                 1.8648,                 1.4544,                 1.4612,             0.00020657,             0.00020657,             0.00020657
                     19,                 1.4872,                 1.1488,                 1.2306,                0.63351,                 0.6002,                0.62811,                0.32034,                  1.778,                 1.4297,                 1.4044,             0.00020605,             0.00020605,             0.00020605
                     20,                 1.4654,                 1.1415,                 1.2328,                0.59275,                0.62531,                  0.622,                0.32577,                 1.8359,                 1.4578,                  1.483,             0.00020553,             0.00020553,             0.00020553
                     21,                 1.4556,                 1.1288,                 1.2234,                0.63592,                0.63646,                 0.6311,                0.31799,                 1.8632,                 1.3855,                   1.46,             0.00020502,             0.00020502,             0.00020502
                     22,                 1.4659,                 1.1008,                 1.2266,                0.68153,                0.64312,                0.64728,                0.33034,                 1.8225,                 1.3471,                 1.4304,              0.0002045,              0.0002045,              0.0002045
                     23,                 1.4453,                 1.0822,                 1.2104,                0.65543,                0.58897,                0.61292,                0.31067,                 1.8441,                 1.4436,                 1.4203,             0.00020398,             0.00020398,             0.00020398
                     24,                 1.4325,                 1.0761,                 1.2071,                0.67037,                0.65029,                0.64652,                0.33705,                 1.7823,                 1.3849,                 1.4216,             0.00020346,             0.00020346,             0.00020346
                     25,                 1.4296,                 1.0628,                 1.2035,                0.65599,                 0.6205,                0.63648,                 0.3259,                  1.871,                  1.429,                 1.4674,             0.00020295,             0.00020295,             0.00020295
                     26,                 1.4257,                 1.0458,                 1.1973,                0.66704,                0.65683,                 0.6561,                0.33575,                 1.8407,                 1.3354,                 1.4164,             0.00020243,             0.00020243,             0.00020243
                     27,                 1.4009,                 1.0292,                 1.1897,                0.68801,                0.61161,                0.64933,                0.32481,                 1.8086,                 1.3372,                 1.4327,             0.00020191,             0.00020191,             0.00020191
                     28,                 1.3958,                 1.0106,                 1.1845,                0.62747,                0.62202,                0.63113,                0.31977,                  1.825,                 1.3344,                 1.4153,             0.00020139,             0.00020139,             0.00020139
                     29,                 1.3993,                  1.007,                  1.188,                  0.686,                 0.6103,                0.64431,                0.32038,                 1.8617,                 1.3613,                  1.439,             0.00020087,             0.00020087,             0.00020087
                     30,                 1.3871,                0.99855,                 1.1767,                0.69168,                0.63826,                0.63726,                0.32761,                 1.8599,                 1.4248,                 1.4532,             0.00020036,             0.00020036,             0.00020036
                     31,                 1.3863,                0.98949,                 1.1751,                0.66196,                0.62471,                0.63579,                0.31757,                 1.8737,                 1.4004,                 1.4928,             0.00019984,             0.00019984,             0.00019984
                     32,                 1.3774,                0.98579,                  1.176,                0.72516,                0.59886,                0.62773,                0.31973,                 1.9207,                 1.4299,                 1.4969,             0.00019932,             0.00019932,             0.00019932
                     33,                  1.353,                0.95566,                 1.1596,                0.67248,                0.65318,                0.65692,                 0.3233,                 1.8746,                 1.3236,                 1.4763,              0.0001988,              0.0001988,              0.0001988
                     34,                 1.3531,                0.95895,                 1.1603,                0.66034,                0.63037,                0.63895,                0.31669,                 1.8972,                 1.3496,                 1.4577,             0.00019829,             0.00019829,             0.00019829
                     35,                 1.3502,                 0.9548,                 1.1639,                0.70505,                0.64976,                0.65473,                0.32143,                 1.8866,                 1.3371,                 1.4683,             0.00019777,             0.00019777,             0.00019777
                     36,                 1.3516,                0.93576,                 1.1574,                0.67124,                0.59705,                0.63688,                0.32154,                 1.8814,                 1.4232,                 1.4873,             0.00019725,             0.00019725,             0.00019725
                     37,                 1.3282,                0.92339,                 1.1551,                0.67549,                0.65243,                0.65963,                0.32383,                 1.9179,                 1.3281,                 1.5347,             0.00019673,             0.00019673,             0.00019673
                     38,                 1.3285,                0.92827,                 1.1474,                0.68183,                0.65109,                0.67275,                0.33734,                 1.8564,                  1.353,                 1.4663,             0.00019621,             0.00019621,             0.00019621
