                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3154,                0.94195,                 1.1421,                0.62768,                0.53195,                 0.5527,                0.26722,                 2.0337,                 1.6451,                 1.6037,                0.07206,             6.0304e-05,             6.0304e-05
                      2,                 1.2346,                0.83962,                 1.1123,                0.62038,                0.66422,                0.61681,                 0.2923,                  1.997,                 1.4712,                 1.5849,               0.043122,             0.00012247,             0.00012247
                      3,                 1.2545,                0.85238,                  1.117,                0.68439,                0.67653,                0.65681,                0.31437,                 1.9399,                 1.3729,                 1.5378,               0.014184,             0.00018433,             0.00018433
                      4,                 1.2532,                0.84613,                 1.1179,                 0.6476,                0.62794,                0.62319,                0.29434,                 1.9723,                 1.4652,                 1.5556,             0.00021382,             0.00021382,             0.00021382
                      5,                 1.2641,                0.85686,                 1.1162,                0.76397,                0.60492,                0.66923,                0.30266,                 1.9615,                 1.4193,                 1.5595,              0.0002133,              0.0002133,              0.0002133
                      6,                 1.2806,                0.86713,                 1.1329,                 0.6146,                0.63803,                0.61141,                0.27677,                 2.0262,                 1.4121,                 1.5631,             0.00021278,             0.00021278,             0.00021278
                      7,                 1.2712,                 0.8618,                 1.1287,                0.65531,                0.61103,                0.61482,                0.29671,                 1.9784,                 1.4714,                 1.5597,             0.00021226,             0.00021226,             0.00021226
                      8,                 1.2635,                0.84541,                 1.1196,                0.56886,                0.66139,                0.60555,                0.28923,                 1.9485,                 1.4974,                 1.5563,             0.00021175,             0.00021175,             0.00021175
                      9,                 1.2529,                0.84433,                 1.1242,                0.68553,                0.65127,                0.66043,                 0.3116,                 1.9635,                 1.4152,                 1.5475,             0.00021123,             0.00021123,             0.00021123
                     10,                 1.2491,                0.84448,                 1.1162,                0.65913,                0.61856,                0.60839,                0.29487,                 1.9902,                 1.4436,                 1.5505,             0.00021071,             0.00021071,             0.00021071
                     11,                   1.24,                0.83403,                  1.118,                0.69189,                0.65235,                0.66846,                0.31952,                 1.9291,                 1.4047,                 1.5201,             0.00021019,             0.00021019,             0.00021019
                     12,                 1.2301,                0.82433,                 1.1086,                 0.7167,                0.58438,                0.63446,                0.30712,                 1.9465,                 1.4054,                 1.5344,             0.00020968,             0.00020968,             0.00020968
                     13,                  1.227,                0.81877,                 1.1052,                0.70247,                0.61446,                0.64047,                0.29461,                 1.9942,                 1.5745,                 1.5661,             0.00020916,             0.00020916,             0.00020916
                     14,                 1.2208,                0.80291,                 1.1006,                0.65542,                 0.6266,                0.62667,                0.30371,                 1.9939,                 1.4818,                  1.574,             0.00020864,             0.00020864,             0.00020864
                     15,                 1.2063,                0.79571,                 1.1021,                0.65489,                0.62507,                0.63034,                0.30139,                 1.9812,                 1.3991,                 1.5822,             0.00020812,             0.00020812,             0.00020812
                     16,                 1.2288,                0.80645,                 1.1103,                0.69814,                0.62895,                 0.6472,                0.32474,                 1.9678,                 1.4684,                  1.555,             0.00020761,             0.00020761,             0.00020761
                     17,                 1.2045,                0.79317,                 1.0976,                 0.6487,                0.61709,                 0.6111,                0.28763,                 2.0208,                 1.6489,                 1.5633,             0.00020709,             0.00020709,             0.00020709
                     18,                 1.2096,                0.78877,                 1.0962,                0.69127,                0.64955,                0.65936,                0.30857,                 1.9981,                 1.3496,                 1.5756,             0.00020657,             0.00020657,             0.00020657
                     19,                 1.1971,                0.79048,                 1.0943,                 0.6493,                0.65733,                0.65092,                0.31663,                 1.9314,                 1.3547,                 1.5619,             0.00020605,             0.00020605,             0.00020605
                     20,                 1.1876,                 0.7916,                 1.0997,                0.65784,                0.64501,                0.65408,                0.32796,                 1.9453,                 1.3939,                 1.5551,             0.00020553,             0.00020553,             0.00020553
                     21,                 1.1821,                0.78258,                 1.0904,                0.68473,                0.63695,                0.63299,                0.30505,                 2.0376,                 1.4345,                 1.6148,             0.00020502,             0.00020502,             0.00020502
                     22,                 1.1807,                0.76214,                 1.0899,                0.69378,                0.65424,                0.64888,                0.31277,                 1.9852,                 1.3398,                 1.5994,              0.0002045,              0.0002045,              0.0002045
                     23,                 1.1688,                0.75725,                 1.0775,                 0.5925,                0.65885,                0.62491,                0.31295,                 1.9193,                 1.3425,                 1.5414,             0.00020398,             0.00020398,             0.00020398
                     24,                 1.1667,                0.75711,                 1.0809,                0.67417,                0.60959,                0.63893,                0.31357,                 1.9451,                 1.3668,                 1.5373,             0.00020346,             0.00020346,             0.00020346
                     25,                 1.1679,                0.75694,                 1.0816,                0.67396,                0.65691,                0.64751,                0.31203,                 1.9682,                  1.445,                 1.5987,             0.00020295,             0.00020295,             0.00020295
                     26,                 1.1676,                0.75578,                 1.0771,                0.71507,                0.63903,                0.65493,                0.31731,                 1.9529,                 1.4135,                 1.5657,             0.00020243,             0.00020243,             0.00020243
                     27,                  1.166,                0.74898,                 1.0792,                0.68024,                0.61957,                0.65688,                0.32454,                 1.9439,                 1.3638,                 1.5459,             0.00020191,             0.00020191,             0.00020191
                     28,                 1.1491,                0.73473,                 1.0689,                0.72661,                0.64612,                0.67007,                0.33239,                 1.9447,                 1.3235,                 1.5426,             0.00020139,             0.00020139,             0.00020139
                     29,                 1.1586,                0.74259,                 1.0753,                0.67876,                0.65083,                0.65472,                0.32332,                 1.9615,                 1.6499,                 1.5935,             0.00020087,             0.00020087,             0.00020087
                     30,                 1.1512,                0.73427,                 1.0712,                0.61765,                0.62583,                0.61304,                0.30045,                 2.0276,                 1.4681,                 1.5435,             0.00020036,             0.00020036,             0.00020036
                     31,                 1.1569,                0.73905,                 1.0745,                0.70217,                0.62497,                 0.6402,                0.30836,                 2.0091,                 1.3722,                 1.5867,             0.00019984,             0.00019984,             0.00019984
                     32,                 1.1441,                0.73735,                 1.0747,                 0.6923,                0.64967,                0.66186,                0.32263,                 1.9353,                 1.3437,                 1.5668,             0.00019932,             0.00019932,             0.00019932
                     33,                 1.1312,                0.72415,                  1.064,                  0.699,                0.65852,                0.66538,                0.32257,                 1.9746,                 1.4306,                 1.6066,              0.0001988,              0.0001988,              0.0001988
                     34,                 1.1365,                0.73354,                 1.0668,                0.68897,                0.67633,                0.66912,                0.32507,                  1.964,                 1.3693,                 1.5791,             0.00019829,             0.00019829,             0.00019829
                     35,                 1.1243,                0.72204,                 1.0617,                 0.6709,                 0.6739,                0.65347,                0.31302,                 1.9799,                 1.4053,                  1.595,             0.00019777,             0.00019777,             0.00019777
                     36,                 1.1361,                0.71809,                 1.0617,                0.66971,                0.71272,                0.67927,                0.32074,                 1.9634,                 1.4085,                 1.5661,             0.00019725,             0.00019725,             0.00019725
