                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1938,                 4.4225,                 1.7619,                0.64027,                0.17801,                0.19079,                0.09185,                 2.1067,                 3.5292,                 1.6553,               0.068841,              0.0018848,              0.0018848
                      2,                 1.8975,                 2.9942,                 1.5411,                0.71883,                0.39213,                0.43144,                0.19168,                 1.9563,                   2.48,                 1.5489,               0.037399,              0.0037754,              0.0037754
                      3,                 1.8356,                 2.4983,                 1.4819,                0.57072,                0.42352,                0.39027,                0.18798,                 2.0217,                 2.5925,                 1.6109,              0.0059452,              0.0056553,              0.0056553
                      4,                 1.7817,                 2.2955,                 1.4438,                0.53622,                0.51042,                  0.543,                0.24836,                  1.825,                 2.1418,                  1.459,              0.0056556,              0.0056556,              0.0056556
                      5,                 1.7659,                 2.1992,                 1.4223,                0.67366,                0.45055,                 0.4935,                0.24562,                 1.8768,                 2.3141,                 1.5512,              0.0056395,              0.0056395,              0.0056395
                      6,                 1.7254,                  2.072,                  1.396,                0.56672,                0.49234,                0.51445,                0.26046,                 1.8266,                 2.0907,                  1.484,              0.0056234,              0.0056234,              0.0056234
                      7,                 1.7019,                 1.9915,                 1.3816,                0.58373,                0.55152,                0.58258,                0.28185,                 1.9394,                 1.9726,                 1.5166,              0.0056073,              0.0056073,              0.0056073
                      8,                 1.6851,                 1.9485,                 1.3668,                0.58282,                 0.5667,                0.60207,                0.29749,                 1.8701,                 1.8582,                 1.5103,              0.0055912,              0.0055912,              0.0055912
                      9,                 1.6773,                 1.9233,                 1.3739,                0.54752,                0.62248,                0.58709,                0.29204,                 1.7868,                 1.8824,                  1.422,               0.005575,               0.005575,               0.005575
                     10,                 1.6519,                 1.8481,                 1.3487,                0.62417,                 0.5362,                0.54816,                0.27818,                 1.8439,                 2.1039,                 1.5365,              0.0055589,              0.0055589,              0.0055589
                     11,                 1.6414,                 1.8012,                 1.3473,                0.66944,                0.61573,                0.65223,                0.32057,                 1.7735,                 1.7325,                 1.4494,              0.0055428,              0.0055428,              0.0055428
