                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3316,                 1.1401,                  1.159,                0.62232,                0.61501,                0.61403,                 0.3004,                 1.9024,                 1.6784,                 1.5345,               0.068841,              0.0018848,              0.0018848
                      2,                 1.3697,                 1.1629,                 1.1726,                0.66539,                0.60442,                0.64723,                0.31471,                 1.8471,                 1.4329,                 1.4479,               0.037399,              0.0037754,              0.0037754
                      3,                 1.3996,                 1.1802,                  1.189,                0.63324,                0.62699,                0.62577,                0.30966,                 1.8789,                 1.4748,                 1.5134,              0.0059452,              0.0056553,              0.0056553
                      4,                 1.4213,                 1.2057,                 1.2051,                0.65366,                 0.6824,                0.67436,                0.33604,                 1.8941,                 1.4233,                 1.4831,              0.0056556,              0.0056556,              0.0056556
                      5,                  1.424,                 1.2132,                 1.2024,                0.70961,                0.62897,                0.66107,                0.33287,                 1.7673,                 1.4027,                 1.4271,              0.0056395,              0.0056395,              0.0056395
                      6,                 1.4135,                 1.1723,                 1.1873,                0.67464,                0.59909,                0.63727,                0.31574,                 1.8623,                 1.4478,                  1.512,              0.0056234,              0.0056234,              0.0056234
                      7,                 1.4077,                 1.1694,                 1.1891,                0.68383,                0.62421,                0.61097,                0.29161,                 1.9336,                 1.5969,                 1.5372,              0.0056073,              0.0056073,              0.0056073
                      8,                 1.3985,                 1.1642,                 1.1818,                0.69939,                0.63725,                0.65424,                0.33848,                 1.8002,                 1.3896,                 1.4653,              0.0055912,              0.0055912,              0.0055912
                      9,                 1.4004,                   1.18,                 1.1906,                 0.7214,                0.62862,                0.67628,                0.34096,                 1.8681,                 1.4045,                 1.4797,               0.005575,               0.005575,               0.005575
                     10,                 1.3824,                 1.1417,                 1.1811,                0.70535,                0.64509,                0.66196,                0.32969,                 1.8016,                 1.3808,                 1.4428,              0.0055589,              0.0055589,              0.0055589
