                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0742,                 3.1153,                 1.6522,                0.43568,                0.31762,                0.30728,                0.15589,                 2.2132,                 3.2862,                 1.8078,               0.067068,             0.00011192,             0.00011192
                      2,                 1.8843,                 1.9833,                 1.4836,                0.67717,                0.42525,                0.45645,                0.20904,                 1.9247,                  1.944,                 1.5446,               0.033847,             0.00022336,             0.00022336
                      3,                 1.8187,                  1.809,                 1.4476,                0.58764,                0.54663,                0.54495,                0.26188,                 1.9622,                 1.9662,                 1.5993,             0.00062319,             0.00033334,             0.00033334
                      4,                 1.7657,                 1.6806,                 1.4227,                0.55888,                0.55128,                0.53524,                0.25948,                 1.8738,                 1.8672,                 1.5343,             0.00033211,             0.00033211,             0.00033211
                      5,                 1.7445,                 1.6373,                 1.4035,                0.68706,                0.54469,                0.57743,                0.27721,                 1.8552,                 1.7238,                 1.5048,             0.00032991,             0.00032991,             0.00032991
                      6,                 1.6982,                 1.5247,                 1.3694,                0.57648,                0.52487,                0.56164,                0.27214,                 1.8945,                 1.7403,                 1.5435,             0.00032772,             0.00032772,             0.00032772
                      7,                 1.6836,                 1.4793,                 1.3696,                0.50786,                 0.5937,                0.55617,                0.26289,                  1.941,                 1.8044,                 1.6106,             0.00032552,             0.00032552,             0.00032552
                      8,                  1.665,                 1.4683,                 1.3533,                0.61558,                0.56791,                0.58452,                0.28859,                 1.9262,                   1.69,                 1.6246,             0.00032332,             0.00032332,             0.00032332
                      9,                 1.6603,                 1.4398,                 1.3566,                0.60766,                0.55807,                0.60242,                0.30676,                 1.8805,                 1.6012,                 1.5397,             0.00032113,             0.00032113,             0.00032113
                     10,                 1.6268,                 1.3988,                 1.3387,                0.63274,                0.59352,                  0.609,                0.31572,                  1.813,                 1.5201,                 1.4887,             0.00031893,             0.00031893,             0.00031893
