                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3425,                 0.9195,                 1.1679,                0.59381,                0.53935,                0.52841,                0.26112,                 2.1538,                 1.9263,                 1.7916,               0.067068,             0.00011192,             0.00011192
                      2,                 1.3499,                0.92985,                  1.167,                0.58343,                 0.6611,                0.60899,                0.29524,                 1.9862,                 1.4936,                 1.6592,               0.033847,             0.00022336,             0.00022336
                      3,                  1.368,                0.95682,                 1.1812,                0.66412,                0.62189,                0.63551,                0.31723,                 1.9675,                 1.4019,                 1.6476,             0.00062319,             0.00033334,             0.00033334
                      4,                 1.3857,                0.98339,                 1.1974,                0.74064,                0.62497,                0.66286,                0.32302,                 1.9895,                 1.4633,                  1.673,             0.00033211,             0.00033211,             0.00033211
                      5,                 1.3953,                0.98481,                    1.2,                0.63157,                0.61035,                0.60603,                0.30254,                 2.0497,                 1.5819,                  1.698,             0.00032991,             0.00032991,             0.00032991
                      6,                  1.384,                0.95324,                 1.1861,                0.67084,                0.63464,                  0.656,                0.31559,                 2.0216,                 1.3979,                 1.7096,             0.00032772,             0.00032772,             0.00032772
                      7,                 1.3743,                0.94377,                  1.187,                0.64652,                0.65978,                0.65067,                0.32094,                 1.9244,                 1.3204,                 1.6198,             0.00032552,             0.00032552,             0.00032552
                      8,                 1.3677,                0.93576,                 1.1792,                0.64637,                0.63778,                 0.6203,                0.30934,                 2.0016,                 1.4345,                 1.6969,             0.00032332,             0.00032332,             0.00032332
                      9,                 1.3808,                0.96019,                 1.1937,                0.64947,                 0.5912,                0.59404,                0.28622,                 1.9853,                 1.7652,                 1.6587,             0.00032113,             0.00032113,             0.00032113
                     10,                 1.3457,                0.93215,                 1.1801,                 0.6711,                0.64839,                0.64299,                0.31995,                  2.001,                 1.4332,                 1.6981,             0.00031893,             0.00031893,             0.00031893
                     11,                 1.3486,                0.92328,                 1.1779,                0.67911,                0.64526,                0.63333,                0.32255,                 2.0376,                 1.3318,                 1.7092,             0.00031674,             0.00031674,             0.00031674
                     12,                 1.3335,                0.91935,                 1.1769,                0.69572,                 0.6701,                0.67357,                0.33607,                 1.8921,                 1.3245,                 1.6029,             0.00031454,             0.00031454,             0.00031454
                     13,                 1.3262,                0.91868,                 1.1722,                0.68893,                0.60268,                0.62726,                0.29544,                 2.0542,                 1.5256,                 1.6946,             0.00031234,             0.00031234,             0.00031234
                     14,                 1.3436,                0.91724,                 1.1777,                0.66107,                0.65744,                0.65182,                0.31674,                 2.0325,                 1.3661,                 1.6895,             0.00031015,             0.00031015,             0.00031015
                     15,                 1.3194,                0.89004,                 1.1597,                0.67672,                0.65094,                 0.6522,                0.32213,                 1.9813,                 1.3024,                 1.6231,             0.00030795,             0.00030795,             0.00030795
                     16,                 1.2917,                0.87948,                 1.1467,                0.68212,                 0.6287,                0.64225,                0.32931,                 1.8752,                 1.2956,                 1.5612,             0.00030575,             0.00030575,             0.00030575
                     17,                 1.3145,                0.87933,                 1.1559,                 0.6335,                 0.6387,                0.63748,                0.30918,                 2.0186,                 1.3229,                 1.6973,             0.00030356,             0.00030356,             0.00030356
                     18,                 1.3015,                 0.8679,                 1.1551,                0.61842,                0.64298,                0.62541,                 0.3084,                 1.8777,                 1.3104,                 1.5571,             0.00030136,             0.00030136,             0.00030136
                     19,                 1.2861,                0.86245,                 1.1443,                0.67224,                0.62695,                0.64178,                0.31625,                  1.926,                 1.4398,                 1.6282,             0.00029916,             0.00029916,             0.00029916
                     20,                 1.2713,                0.84607,                 1.1407,                 0.6369,                 0.6686,                 0.6299,                0.32185,                 1.9114,                 1.2161,                 1.5698,             0.00029697,             0.00029697,             0.00029697
                     21,                 1.2915,                0.85642,                 1.1448,                0.61668,                0.60007,                0.57857,                0.28266,                 2.0706,                 1.5621,                 1.7042,             0.00029477,             0.00029477,             0.00029477
                     22,                 1.2727,                0.84177,                   1.14,                0.61442,                0.63795,                0.61338,                0.31439,                 1.9701,                 1.3406,                  1.664,             0.00029257,             0.00029257,             0.00029257
